return_12m,return_1m,return_3m,return_6m,fund_name,fund_upfront_fee,fund_company,fund_fee_rate,fund_grade,fund_type,fund_risk_type
48.24,3.35,12.78,9.31,다올글로벌빅테크1등주증권(주식)C-Pe,0.0,2,1.19,2,1,적극형
9.77,5.18,8.05,-0.63,다올코스닥벤처증권투자신탁(주혼)A,1.0,2,1.145,2,2,적극형
10.04,5.2,8.12,-0.5,다올코스닥벤처증권투자신탁(주혼)Ae,0.5,2,0.895,2,2,적극형
0.0,0.0,0.0,0.0,다올코스닥벤처증권투자신탁(주혼)Ag,0.5,2,0.995,2,2,안정형
9.33,5.14,7.94,-0.83,다올코스닥벤처증권투자신탁(주혼)C,0.0,2,1.545,2,2,적극형
9.82,5.18,8.06,-0.6,다올코스닥벤처증권투자신탁(주혼)Ce,0.0,2,1.095,2,2,적극형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]A,0.4,2,0.8,5,4,공격형
9.48,2.78,4.5,5.38,다올공모주10증권투자신탁[채권혼합]Ae,0.2,2,0.6,5,4,공격형
8.83,2.73,4.34,5.07,다올공모주10증권투자신탁[채권혼합]C,0.0,2,1.2,5,4,공격형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]Ce,0.0,2,0.8,5,4,적극형
9.7,2.79,4.55,5.49,다올공모주10증권투자신탁[채권혼합]CW,0.0,2,0.4,5,4,적극형
0.0,2.32,5.15,-0.29,다올VIP스타셀렉션청년형(주식)C,0.0,2,1.617,2,1,보수형
0.0,2.36,5.27,-0.06,다올VIP스타셀렉션청년형(주식)Ce,0.0,2,1.167,2,1,보수형
25.22,13.68,21.96,20.84,DB바이오헬스케어증권형1호A,1.0,3,1.287,2,1,공격형
25.88,13.72,22.12,21.16,DB바이오헬스케어증권형C-W,0.0,3,0.757,2,1,공격형
24.65,13.64,21.82,20.57,DB바이오헬스케어증권형1호CE,0.0,3,1.757,2,1,공격형
24.95,13.66,21.9,20.71,DB바이오헬스케어증권형1호C-P,0.0,3,1.507,2,1,공격형
25.55,13.7,22.04,21.0,DB바이오헬스케어증권형1호AE,0.5,3,1.017,2,1,공격형
24.04,13.6,21.68,20.27,DB바이오헬스케어증권형1호C,0.0,3,2.257,2,1,공격형
25.41,13.69,22.0,20.93,DB바이오헬스케어증권형1호C-PE,0.0,3,1.507,2,1,공격형
-3.45,8.85,6.7,0.78,iM에셋월드광업주H(주식-재간접)A,1.0,0,1.56,1,0,보수형
-3.93,8.81,6.57,0.53,iM에셋월드광업주H(주식-재간접)C1,0.0,0,2.06,1,0,보수형
-3.54,8.84,6.67,0.73,iM에셋월드광업주H(주식-재간접)Ce,0.0,0,1.66,1,0,보수형
-2.47,8.93,6.96,1.28,iM에셋월드광업주H(주식-재간접)C-W,0.0,0,0.58,1,0,보수형
-3.05,8.88,6.8,0.98,iM에셋월드광업주H(주식-재간접)C-p,0.0,0,1.16,1,0,보수형
-2.75,8.9,6.88,1.13,iM에셋월드광업주H(주식-재간접)C-pe,0.0,0,0.86,1,0,보수형
21.9,6.95,10.68,7.22,교보파워인덱스(주식-파생형)A,1.0,1,0.76,2,5,공격형
22.45,6.98,10.81,7.47,교보파워인덱스(주식-파생형)Ae,0.5,1,0.3,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권A,0.02,1,0.119,5,3,적극형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)B,0.03,1,0.159,2,5,공격형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)A2,0.03,1,0.159,2,5,공격형
8.36,3.21,5.77,4.91,교보악사투모로우장기우량증권A2,0.3,1,0.319,5,3,적극형
8.25,3.2,5.75,4.86,교보악사투모로우장기우량증권C1,0.0,1,0.419,5,3,적극형
8.41,3.21,5.79,4.93,교보악사투모로우장기우량증권CE,0.0,1,0.269,5,3,적극형
8.31,3.2,5.76,4.88,교보악사투모로우장기우량C-P2,0.0,1,0.369,5,3,적극형
22.02,6.95,10.71,7.27,교보파워인덱스(주식파생)C-P2,0.0,1,0.66,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권C-W,0.0,1,0.119,5,3,적극형
22.62,7.0,10.85,7.54,교보파워인덱스(주식-파생형)C-W,0.0,1,0.159,2,5,공격형
8.44,3.21,5.79,4.95,교보악사투모로우장기우량C-P2e,0.0,1,0.239,5,3,적극형
21.42,6.91,10.57,7.01,교보파워인덱스(주식-파생형)C,0.0,1,1.16,2,5,공격형
22.02,6.95,10.71,7.27,교보파워인덱스(주식-파생형)Ce,0.0,1,0.66,2,5,공격형
22.32,6.98,10.78,7.41,교보파워인덱스(주식파생)C-P2e,0.0,1,0.409,2,5,공격형
8.47,3.21,5.8,4.96,교보악사투모로우장기우량증권Ae,0.15,1,0.219,5,3,적극형
40.24,2.35,5.25,-0.21,다올VIP스타셀렉션증권형(주식)A,1.0,2,1.43,2,1,위험중립형
39.97,2.34,5.2,-0.31,다올VIP스타셀렉션증권형(주식)Ce,0.0,2,1.63,2,1,위험중립형
47.88,3.33,12.71,9.18,다올글로벌빅테크1등주증권(주식)A,1.0,2,1.44,2,1,적극형
48.38,3.36,12.81,9.37,다올글로벌빅테크1등주증권(주식)Ae,0.5,2,1.09,2,1,적극형
47.04,3.28,12.55,8.85,다올글로벌빅테크1등주증권(주식)C,0.0,2,2.04,2,1,적극형
48.16,3.34,12.77,9.28,다올글로벌빅테크1등주증권(주식)Ce,0.0,2,1.24,2,1,적극형
47.6,3.31,12.66,9.07,다올글로벌빅테크1등주증권(주식)C-P,0.0,2,1.64,2,1,적극형
48.24,3.35,12.78,9.31,다올글로벌빅테크1등주증권(주식)C-Pe,0.0,2,1.19,2,1,적극형
9.77,5.18,8.05,-0.63,다올코스닥벤처증권투자신탁(주혼)A,1.0,2,1.145,2,2,적극형
10.04,5.2,8.12,-0.5,다올코스닥벤처증권투자신탁(주혼)Ae,0.5,2,0.895,2,2,적극형
0.0,0.0,0.0,0.0,다올코스닥벤처증권투자신탁(주혼)Ag,0.5,2,0.995,2,2,안정형
9.33,5.14,7.94,-0.83,다올코스닥벤처증권투자신탁(주혼)C,0.0,2,1.545,2,2,적극형
9.82,5.18,8.06,-0.6,다올코스닥벤처증권투자신탁(주혼)Ce,0.0,2,1.095,2,2,적극형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]A,0.4,2,0.8,5,4,공격형
9.48,2.78,4.5,5.38,다올공모주10증권투자신탁[채권혼합]Ae,0.2,2,0.6,5,4,공격형
8.83,2.73,4.34,5.07,다올공모주10증권투자신탁[채권혼합]C,0.0,2,1.2,5,4,공격형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]Ce,0.0,2,0.8,5,4,적극형
9.7,2.79,4.55,5.49,다올공모주10증권투자신탁[채권혼합]CW,0.0,2,0.4,5,4,적극형
0.0,2.32,5.15,-0.29,다올VIP스타셀렉션청년형(주식)C,0.0,2,1.617,2,1,보수형
0.0,2.36,5.27,-0.06,다올VIP스타셀렉션청년형(주식)Ce,0.0,2,1.167,2,1,보수형
25.22,13.68,21.96,20.84,DB바이오헬스케어증권형1호A,1.0,3,1.287,2,1,공격형
25.88,13.72,22.12,21.16,DB바이오헬스케어증권형C-W,0.0,3,0.757,2,1,공격형
24.65,13.64,21.82,20.57,DB바이오헬스케어증권형1호CE,0.0,3,1.757,2,1,공격형
24.95,13.66,21.9,20.71,DB바이오헬스케어증권형1호C-P,0.0,3,1.507,2,1,공격형
25.55,13.7,22.04,21.0,DB바이오헬스케어증권형1호AE,0.5,3,1.017,2,1,공격형
24.04,13.6,21.68,20.27,DB바이오헬스케어증권형1호C,0.0,3,2.257,2,1,공격형
25.41,13.69,22.0,20.93,DB바이오헬스케어증권형1호C-PE,0.0,3,1.507,2,1,공격형
-3.45,8.85,6.7,0.78,iM에셋월드광업주H(주식-재간접)A,1.0,0,1.56,1,0,보수형
-3.93,8.81,6.57,0.53,iM에셋월드광업주H(주식-재간접)C1,0.0,0,2.06,1,0,보수형
-3.54,8.84,6.67,0.73,iM에셋월드광업주H(주식-재간접)Ce,0.0,0,1.66,1,0,보수형
-2.47,8.93,6.96,1.28,iM에셋월드광업주H(주식-재간접)C-W,0.0,0,0.58,1,0,보수형
-3.05,8.88,6.8,0.98,iM에셋월드광업주H(주식-재간접)C-p,0.0,0,1.16,1,0,보수형
-2.75,8.9,6.88,1.13,iM에셋월드광업주H(주식-재간접)C-pe,0.0,0,0.86,1,0,보수형
21.9,6.95,10.68,7.22,교보파워인덱스(주식-파생형)A,1.0,1,0.76,2,5,공격형
22.45,6.98,10.81,7.47,교보파워인덱스(주식-파생형)Ae,0.5,1,0.3,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권A,0.02,1,0.119,5,3,적극형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)B,0.03,1,0.159,2,5,공격형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)A2,0.03,1,0.159,2,5,공격형
8.36,3.21,5.77,4.91,교보악사투모로우장기우량증권A2,0.3,1,0.319,5,3,적극형
8.25,3.2,5.75,4.86,교보악사투모로우장기우량증권C1,0.0,1,0.419,5,3,적극형
8.41,3.21,5.79,4.93,교보악사투모로우장기우량증권CE,0.0,1,0.269,5,3,적극형
8.31,3.2,5.76,4.88,교보악사투모로우장기우량C-P2,0.0,1,0.369,5,3,적극형
22.02,6.95,10.71,7.27,교보파워인덱스(주식파생)C-P2,0.0,1,0.66,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권C-W,0.0,1,0.119,5,3,적극형
22.62,7.0,10.85,7.54,교보파워인덱스(주식-파생형)C-W,0.0,1,0.159,2,5,공격형
8.44,3.21,5.79,4.95,교보악사투모로우장기우량C-P2e,0.0,1,0.239,5,3,적극형
21.42,6.91,10.57,7.01,교보파워인덱스(주식-파생형)C,0.0,1,1.16,2,5,공격형
22.02,6.95,10.71,7.27,교보파워인덱스(주식-파생형)Ce,0.0,1,0.66,2,5,공격형
22.32,6.98,10.78,7.41,교보파워인덱스(주식파생)C-P2e,0.0,1,0.409,2,5,공격형
8.47,3.21,5.8,4.96,교보악사투모로우장기우량증권Ae,0.15,1,0.219,5,3,적극형
40.24,2.35,5.25,-0.21,다올VIP스타셀렉션증권형(주식)A,1.0,2,1.43,2,1,위험중립형
39.97,2.34,5.2,-0.31,다올VIP스타셀렉션증권형(주식)Ce,0.0,2,1.63,2,1,위험중립형
47.88,3.33,12.71,9.18,다올글로벌빅테크1등주증권(주식)A,1.0,2,1.44,2,1,적극형
48.38,3.36,12.81,9.37,다올글로벌빅테크1등주증권(주식)Ae,0.5,2,1.09,2,1,적극형
47.04,3.28,12.55,8.85,다올글로벌빅테크1등주증권(주식)C,0.0,2,2.04,2,1,적극형
48.16,3.34,12.77,9.28,다올글로벌빅테크1등주증권(주식)Ce,0.0,2,1.24,2,1,적극형
47.6,3.31,12.66,9.07,다올글로벌빅테크1등주증권(주식)C-P,0.0,2,1.64,2,1,적극형
48.24,3.35,12.78,9.31,다올글로벌빅테크1등주증권(주식)C-Pe,0.0,2,1.19,2,1,적극형
9.77,5.18,8.05,-0.63,다올코스닥벤처증권투자신탁(주혼)A,1.0,2,1.145,2,2,적극형
10.04,5.2,8.12,-0.5,다올코스닥벤처증권투자신탁(주혼)Ae,0.5,2,0.895,2,2,적극형
0.0,0.0,0.0,0.0,다올코스닥벤처증권투자신탁(주혼)Ag,0.5,2,0.995,2,2,안정형
9.33,5.14,7.94,-0.83,다올코스닥벤처증권투자신탁(주혼)C,0.0,2,1.545,2,2,적극형
9.82,5.18,8.06,-0.6,다올코스닥벤처증권투자신탁(주혼)Ce,0.0,2,1.095,2,2,적극형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]A,0.4,2,0.8,5,4,공격형
9.48,2.78,4.5,5.38,다올공모주10증권투자신탁[채권혼합]Ae,0.2,2,0.6,5,4,공격형
8.83,2.73,4.34,5.07,다올공모주10증권투자신탁[채권혼합]C,0.0,2,1.2,5,4,공격형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]Ce,0.0,2,0.8,5,4,적극형
9.7,2.79,4.55,5.49,다올공모주10증권투자신탁[채권혼합]CW,0.0,2,0.4,5,4,적극형
0.0,2.32,5.15,-0.29,다올VIP스타셀렉션청년형(주식)C,0.0,2,1.617,2,1,보수형
0.0,2.36,5.27,-0.06,다올VIP스타셀렉션청년형(주식)Ce,0.0,2,1.167,2,1,보수형
25.22,13.68,21.96,20.84,DB바이오헬스케어증권형1호A,1.0,3,1.287,2,1,공격형
25.88,13.72,22.12,21.16,DB바이오헬스케어증권형C-W,0.0,3,0.757,2,1,공격형
24.65,13.64,21.82,20.57,DB바이오헬스케어증권형1호CE,0.0,3,1.757,2,1,공격형
24.95,13.66,21.9,20.71,DB바이오헬스케어증권형1호C-P,0.0,3,1.507,2,1,공격형
25.55,13.7,22.04,21.0,DB바이오헬스케어증권형1호AE,0.5,3,1.017,2,1,공격형
24.04,13.6,21.68,20.27,DB바이오헬스케어증권형1호C,0.0,3,2.257,2,1,공격형
25.41,13.69,22.0,20.93,DB바이오헬스케어증권형1호C-PE,0.0,3,1.507,2,1,공격형
-3.45,8.85,6.7,0.78,iM에셋월드광업주H(주식-재간접)A,1.0,0,1.56,1,0,보수형
-3.93,8.81,6.57,0.53,iM에셋월드광업주H(주식-재간접)C1,0.0,0,2.06,1,0,보수형
-3.54,8.84,6.67,0.73,iM에셋월드광업주H(주식-재간접)Ce,0.0,0,1.66,1,0,보수형
-2.47,8.93,6.96,1.28,iM에셋월드광업주H(주식-재간접)C-W,0.0,0,0.58,1,0,보수형
-3.05,8.88,6.8,0.98,iM에셋월드광업주H(주식-재간접)C-p,0.0,0,1.16,1,0,보수형
-2.75,8.9,6.88,1.13,iM에셋월드광업주H(주식-재간접)C-pe,0.0,0,0.86,1,0,보수형
21.9,6.95,10.68,7.22,교보파워인덱스(주식-파생형)A,1.0,1,0.76,2,5,공격형
22.45,6.98,10.81,7.47,교보파워인덱스(주식-파생형)Ae,0.5,1,0.3,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권A,0.02,1,0.119,5,3,적극형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)B,0.03,1,0.159,2,5,공격형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)A2,0.03,1,0.159,2,5,공격형
8.36,3.21,5.77,4.91,교보악사투모로우장기우량증권A2,0.3,1,0.319,5,3,적극형
8.25,3.2,5.75,4.86,교보악사투모로우장기우량증권C1,0.0,1,0.419,5,3,적극형
8.41,3.21,5.79,4.93,교보악사투모로우장기우량증권CE,0.0,1,0.269,5,3,적극형
8.31,3.2,5.76,4.88,교보악사투모로우장기우량C-P2,0.0,1,0.369,5,3,적극형
22.02,6.95,10.71,7.27,교보파워인덱스(주식파생)C-P2,0.0,1,0.66,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권C-W,0.0,1,0.119,5,3,적극형
22.62,7.0,10.85,7.54,교보파워인덱스(주식-파생형)C-W,0.0,1,0.159,2,5,공격형
8.44,3.21,5.79,4.95,교보악사투모로우장기우량C-P2e,0.0,1,0.239,5,3,적극형
21.42,6.91,10.57,7.01,교보파워인덱스(주식-파생형)C,0.0,1,1.16,2,5,공격형
22.02,6.95,10.71,7.27,교보파워인덱스(주식-파생형)Ce,0.0,1,0.66,2,5,공격형
22.32,6.98,10.78,7.41,교보파워인덱스(주식파생)C-P2e,0.0,1,0.409,2,5,공격형
8.47,3.21,5.8,4.96,교보악사투모로우장기우량증권Ae,0.15,1,0.219,5,3,적극형
40.24,2.35,5.25,-0.21,다올VIP스타셀렉션증권형(주식)A,1.0,2,1.43,2,1,위험중립형
39.97,2.34,5.2,-0.31,다올VIP스타셀렉션증권형(주식)Ce,0.0,2,1.63,2,1,위험중립형
47.88,3.33,12.71,9.18,다올글로벌빅테크1등주증권(주식)A,1.0,2,1.44,2,1,적극형
48.38,3.36,12.81,9.37,다올글로벌빅테크1등주증권(주식)Ae,0.5,2,1.09,2,1,적극형
47.04,3.28,12.55,8.85,다올글로벌빅테크1등주증권(주식)C,0.0,2,2.04,2,1,적극형
48.16,3.34,12.77,9.28,다올글로벌빅테크1등주증권(주식)Ce,0.0,2,1.24,2,1,적극형
47.6,3.31,12.66,9.07,다올글로벌빅테크1등주증권(주식)C-P,0.0,2,1.64,2,1,적극형
48.24,3.35,12.78,9.31,다올글로벌빅테크1등주증권(주식)C-Pe,0.0,2,1.19,2,1,적극형
9.77,5.18,8.05,-0.63,다올코스닥벤처증권투자신탁(주혼)A,1.0,2,1.145,2,2,적극형
10.04,5.2,8.12,-0.5,다올코스닥벤처증권투자신탁(주혼)Ae,0.5,2,0.895,2,2,적극형
0.0,0.0,0.0,0.0,다올코스닥벤처증권투자신탁(주혼)Ag,0.5,2,0.995,2,2,안정형
9.33,5.14,7.94,-0.83,다올코스닥벤처증권투자신탁(주혼)C,0.0,2,1.545,2,2,적극형
9.82,5.18,8.06,-0.6,다올코스닥벤처증권투자신탁(주혼)Ce,0.0,2,1.095,2,2,적극형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]A,0.4,2,0.8,5,4,공격형
9.48,2.78,4.5,5.38,다올공모주10증권투자신탁[채권혼합]Ae,0.2,2,0.6,5,4,공격형
8.83,2.73,4.34,5.07,다올공모주10증권투자신탁[채권혼합]C,0.0,2,1.2,5,4,공격형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]Ce,0.0,2,0.8,5,4,적극형
9.7,2.79,4.55,5.49,다올공모주10증권투자신탁[채권혼합]CW,0.0,2,0.4,5,4,적극형
0.0,2.32,5.15,-0.29,다올VIP스타셀렉션청년형(주식)C,0.0,2,1.617,2,1,보수형
0.0,2.36,5.27,-0.06,다올VIP스타셀렉션청년형(주식)Ce,0.0,2,1.167,2,1,보수형
25.22,13.68,21.96,20.84,DB바이오헬스케어증권형1호A,1.0,3,1.287,2,1,공격형
25.88,13.72,22.12,21.16,DB바이오헬스케어증권형C-W,0.0,3,0.757,2,1,공격형
24.65,13.64,21.82,20.57,DB바이오헬스케어증권형1호CE,0.0,3,1.757,2,1,공격형
24.95,13.66,21.9,20.71,DB바이오헬스케어증권형1호C-P,0.0,3,1.507,2,1,공격형
25.55,13.7,22.04,21.0,DB바이오헬스케어증권형1호AE,0.5,3,1.017,2,1,공격형
24.04,13.6,21.68,20.27,DB바이오헬스케어증권형1호C,0.0,3,2.257,2,1,공격형
25.41,13.69,22.0,20.93,DB바이오헬스케어증권형1호C-PE,0.0,3,1.507,2,1,공격형
-3.45,8.85,6.7,0.78,iM에셋월드광업주H(주식-재간접)A,1.0,0,1.56,1,0,보수형
-3.93,8.81,6.57,0.53,iM에셋월드광업주H(주식-재간접)C1,0.0,0,2.06,1,0,보수형
-3.54,8.84,6.67,0.73,iM에셋월드광업주H(주식-재간접)Ce,0.0,0,1.66,1,0,보수형
-2.47,8.93,6.96,1.28,iM에셋월드광업주H(주식-재간접)C-W,0.0,0,0.58,1,0,보수형
-3.05,8.88,6.8,0.98,iM에셋월드광업주H(주식-재간접)C-p,0.0,0,1.16,1,0,보수형
-2.75,8.9,6.88,1.13,iM에셋월드광업주H(주식-재간접)C-pe,0.0,0,0.86,1,0,보수형
21.9,6.95,10.68,7.22,교보파워인덱스(주식-파생형)A,1.0,1,0.76,2,5,공격형
22.45,6.98,10.81,7.47,교보파워인덱스(주식-파생형)Ae,0.5,1,0.3,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권A,0.02,1,0.119,5,3,적극형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)B,0.03,1,0.159,2,5,공격형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)A2,0.03,1,0.159,2,5,공격형
8.36,3.21,5.77,4.91,교보악사투모로우장기우량증권A2,0.3,1,0.319,5,3,적극형
8.25,3.2,5.75,4.86,교보악사투모로우장기우량증권C1,0.0,1,0.419,5,3,적극형
8.41,3.21,5.79,4.93,교보악사투모로우장기우량증권CE,0.0,1,0.269,5,3,적극형
8.31,3.2,5.76,4.88,교보악사투모로우장기우량C-P2,0.0,1,0.369,5,3,적극형
22.02,6.95,10.71,7.27,교보파워인덱스(주식파생)C-P2,0.0,1,0.66,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권C-W,0.0,1,0.119,5,3,적극형
22.62,7.0,10.85,7.54,교보파워인덱스(주식-파생형)C-W,0.0,1,0.159,2,5,공격형
8.44,3.21,5.79,4.95,교보악사투모로우장기우량C-P2e,0.0,1,0.239,5,3,적극형
21.42,6.91,10.57,7.01,교보파워인덱스(주식-파생형)C,0.0,1,1.16,2,5,공격형
22.02,6.95,10.71,7.27,교보파워인덱스(주식-파생형)Ce,0.0,1,0.66,2,5,공격형
22.32,6.98,10.78,7.41,교보파워인덱스(주식파생)C-P2e,0.0,1,0.409,2,5,공격형
8.47,3.21,5.8,4.96,교보악사투모로우장기우량증권Ae,0.15,1,0.219,5,3,적극형
40.24,2.35,5.25,-0.21,다올VIP스타셀렉션증권형(주식)A,1.0,2,1.43,2,1,위험중립형
39.97,2.34,5.2,-0.31,다올VIP스타셀렉션증권형(주식)Ce,0.0,2,1.63,2,1,위험중립형
47.88,3.33,12.71,9.18,다올글로벌빅테크1등주증권(주식)A,1.0,2,1.44,2,1,적극형
48.38,3.36,12.81,9.37,다올글로벌빅테크1등주증권(주식)Ae,0.5,2,1.09,2,1,적극형
47.04,3.28,12.55,8.85,다올글로벌빅테크1등주증권(주식)C,0.0,2,2.04,2,1,적극형
48.16,3.34,12.77,9.28,다올글로벌빅테크1등주증권(주식)Ce,0.0,2,1.24,2,1,적극형
47.6,3.31,12.66,9.07,다올글로벌빅테크1등주증권(주식)C-P,0.0,2,1.64,2,1,적극형
48.24,3.35,12.78,9.31,다올글로벌빅테크1등주증권(주식)C-Pe,0.0,2,1.19,2,1,적극형
9.77,5.18,8.05,-0.63,다올코스닥벤처증권투자신탁(주혼)A,1.0,2,1.145,2,2,적극형
10.04,5.2,8.12,-0.5,다올코스닥벤처증권투자신탁(주혼)Ae,0.5,2,0.895,2,2,적극형
0.0,0.0,0.0,0.0,다올코스닥벤처증권투자신탁(주혼)Ag,0.5,2,0.995,2,2,안정형
9.33,5.14,7.94,-0.83,다올코스닥벤처증권투자신탁(주혼)C,0.0,2,1.545,2,2,적극형
9.82,5.18,8.06,-0.6,다올코스닥벤처증권투자신탁(주혼)Ce,0.0,2,1.095,2,2,적극형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]A,0.4,2,0.8,5,4,공격형
9.48,2.78,4.5,5.38,다올공모주10증권투자신탁[채권혼합]Ae,0.2,2,0.6,5,4,공격형
8.83,2.73,4.34,5.07,다올공모주10증권투자신탁[채권혼합]C,0.0,2,1.2,5,4,공격형
9.26,2.76,4.45,5.28,다올공모주10증권투자신탁[채권혼합]Ce,0.0,2,0.8,5,4,적극형
9.7,2.79,4.55,5.49,다올공모주10증권투자신탁[채권혼합]CW,0.0,2,0.4,5,4,적극형
0.0,2.32,5.15,-0.29,다올VIP스타셀렉션청년형(주식)C,0.0,2,1.617,2,1,보수형
0.0,2.36,5.27,-0.06,다올VIP스타셀렉션청년형(주식)Ce,0.0,2,1.167,2,1,보수형
25.22,13.68,21.96,20.84,DB바이오헬스케어증권형1호A,1.0,3,1.287,2,1,공격형
25.88,13.72,22.12,21.16,DB바이오헬스케어증권형C-W,0.0,3,0.757,2,1,공격형
24.65,13.64,21.82,20.57,DB바이오헬스케어증권형1호CE,0.0,3,1.757,2,1,공격형
24.95,13.66,21.9,20.71,DB바이오헬스케어증권형1호C-P,0.0,3,1.507,2,1,공격형
25.55,13.7,22.04,21.0,DB바이오헬스케어증권형1호AE,0.5,3,1.017,2,1,공격형
24.04,13.6,21.68,20.27,DB바이오헬스케어증권형1호C,0.0,3,2.257,2,1,공격형
25.41,13.69,22.0,20.93,DB바이오헬스케어증권형1호C-PE,0.0,3,1.507,2,1,공격형
-3.45,8.85,6.7,0.78,iM에셋월드광업주H(주식-재간접)A,1.0,0,1.56,1,0,보수형
-3.93,8.81,6.57,0.53,iM에셋월드광업주H(주식-재간접)C1,0.0,0,2.06,1,0,보수형
-3.54,8.84,6.67,0.73,iM에셋월드광업주H(주식-재간접)Ce,0.0,0,1.66,1,0,보수형
-2.47,8.93,6.96,1.28,iM에셋월드광업주H(주식-재간접)C-W,0.0,0,0.58,1,0,보수형
-3.05,8.88,6.8,0.98,iM에셋월드광업주H(주식-재간접)C-p,0.0,0,1.16,1,0,보수형
-2.75,8.9,6.88,1.13,iM에셋월드광업주H(주식-재간접)C-pe,0.0,0,0.86,1,0,보수형
21.9,6.95,10.68,7.22,교보파워인덱스(주식-파생형)A,1.0,1,0.76,2,5,공격형
22.45,6.98,10.81,7.47,교보파워인덱스(주식-파생형)Ae,0.5,1,0.3,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권A,0.02,1,0.119,5,3,적극형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)B,0.03,1,0.159,2,5,공격형
19.65,7.0,10.85,7.54,교보파워인덱스(주식-파생형)A2,0.03,1,0.159,2,5,공격형
8.36,3.21,5.77,4.91,교보악사투모로우장기우량증권A2,0.3,1,0.319,5,3,적극형
8.25,3.2,5.75,4.86,교보악사투모로우장기우량증권C1,0.0,1,0.419,5,3,적극형
8.41,3.21,5.79,4.93,교보악사투모로우장기우량증권CE,0.0,1,0.269,5,3,적극형
8.31,3.2,5.76,4.88,교보악사투모로우장기우량C-P2,0.0,1,0.369,5,3,적극형
22.02,6.95,10.71,7.27,교보파워인덱스(주식파생)C-P2,0.0,1,0.66,2,5,공격형
8.57,3.22,5.82,5.01,교보악사투모로우장기우량증권C-W,0.0,1,0.119,5,3,적극형
22.62,7.0,10.85,7.54,교보파워인덱스(주식-파생형)C-W,0.0,1,0.159,2,5,공격형
8.44,3.21,5.79,4.95,교보악사투모로우장기우량C-P2e,0.0,1,0.239,5,3,적극형
21.42,6.91,10.57,7.01,교보파워인덱스(주식-파생형)C,0.0,1,1.16,2,5,공격형
22.02,6.95,10.71,7.27,교보파워인덱스(주식-파생형)Ce,0.0,1,0.66,2,5,공격형
22.32,6.98,10.78,7.41,교보파워인덱스(주식파생)C-P2e,0.0,1,0.409,2,5,공격형
8.47,3.21,5.8,4.96,교보악사투모로우장기우량증권Ae,0.15,1,0.219,5,3,적극형
40.24,2.35,5.25,-0.21,다올VIP스타셀렉션증권형(주식)A,1.0,2,1.43,2,1,위험중립형
39.97,2.34,5.2,-0.31,다올VIP스타셀렉션증권형(주식)Ce,0.0,2,1.63,2,1,위험중립형
47.88,3.33,12.71,9.18,다올글로벌빅테크1등주증권(주식)A,1.0,2,1.44,2,1,적극형
48.38,3.36,12.81,9.37,다올글로벌빅테크1등주증권(주식)Ae,0.5,2,1.09,2,1,적극형
47.04,3.28,12.55,8.85,다올글로벌빅테크1등주증권(주식)C,0.0,2,2.04,2,1,적극형
48.16,3.34,12.77,9.28,다올글로벌빅테크1등주증권(주식)Ce,0.0,2,1.24,2,1,적극형
47.6,3.31,12.66,9.07,다올글로벌빅테크1등주증권(주식)C-P,0.0,2,1.64,2,1,적극형
48.24,3.35,12.78,9.31,다올글로벌빅테크1등주증권(주식)C-Pe,0.0,2,1.19,2,1,적극형
9.77,5.18,8.05,-0.63,다올코스닥벤처증권투자신탁(주혼)A,1.0,2,1.145,2,2,적극형
10.04,5.2,8.12,-0.5,다올코스닥벤처증권투자신탁(주혼)Ae,0.5,2,0.895,2,2,적극형
